unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
1560,1560,Jaguar,I-PACE,2024,Nickel-manganese-cobalt,88.4,338,Mobile Charging,3.0,46081.57,Ice Silver,USA,4.0,0.0,4.0,14268,4
1561,1561,Kia,Niro EV,2015,Lithium-titanate,88.7,291,Level 2 Charging,1.2,116770.4,Matte White,New Zealand,0.0,0.0,4.0,3017,3
1564,1564,Audi,Q4 e-tron,2019,Nickel-metal hydride,111.9,200,Level 1 Charging,5.1,36335.26,Metallic Silver,South Korea,4.0,0.0,5.0,10981,5
1565,1565,Nissan,Ariya,2017,Nickel-metal hydride,57.5,148,CCS,3.8,48408.3,Cream,Indonesia,0.0,0.0,5.0,19294,5
1568,1568,Volvo,XC40 Recharge,2018,Lithium-iron phosphate,103.4,286,NACS,6.4,144642.82,Orange,Switzerland,5.0,0.0,4.0,9283,4
1569,1569,Volkswagen,ID.4,2019,Nickel-metal hydride,85.1,252,Solar Charging,7.5,81383.62,White,Norway,4.0,0.0,3.0,1786,5
1570,1570,Faraday Future,FF 91,2018,Nickel-cobalt-aluminum,117.5,425,Vehicle-to-Load (V2L),7.7,134036.35,Forest Green,Portugal,4.0,0.0,5.0,15463,3
1571,1571,Fisker,Pear (upcoming),2016,Sodium-ion,109.5,296,Plug-in Hydrogen Refueling,4.8,69901.87,Rose Gold,China,3.0,0.0,3.0,16741,3
1572,1572,GMC,Hummer EV SUV,2021,Lithium-sulfur,33.7,342,Overhead Pantograph Charging,3.0,78518.37,Matte Blue,Argentina,3.0,0.0,4.0,14231,5
1573,1573,Rimac,Nevera,2020,Lithium-iron phosphate,93.0,457,Vehicle-to-Grid (V2G),2.0,106054.84,Navy Blue,Singapore,2.0,0.0,3.0,12722,4
1574,1574,Jeep,Grand Cherokee 4xe (PHEV),2019,Solid-state,64.0,141,NACS,7.9,133609.35,Ice Silver,Indonesia,5.0,0.0,4.0,8894,3
1576,1576,Cadillac,Optiq (upcoming),2025,Solid-state,74.0,281,Ultra-Fast Charging (350 kW+),8.2,90011.17,Yellow,Thailand,4.0,0.0,3.0,957,3
1577,1577,Nissan,Ariya,2018,Nickel-manganese-cobalt,37.0,130,Vehicle-to-Load (V2L),8.4,123001.86,Navy Blue,USA,2.0,0.0,4.0,18149,5
1578,1579,Rimac,Nevera,2017,Lithium-titanate,95.2,525,NACS,5.0,114303.75,Teal,Thailand,1.0,0.0,5.0,19171,5
1579,1580,Acura,ZDX (with GM Ultium),2015,Lithium-iron phosphate,71.4,393,Battery Swapping,6.3,109793.25,Lime Green,Canada,3.0,0.0,4.0,18584,4
1581,1582,XPeng,G6,2024,Zinc-air,55.4,399,Level 2 Charging,9.3,39756.46,Crimson Red,Austria,2.0,0.0,4.0,15795,5
1584,1585,Subaru,Solterra,2015,Nickel-metal hydride,88.9,525,Vehicle-to-Grid (V2G),10.3,141099.55,Cream,Saudi Arabia,5.0,0.0,5.0,1296,3
1587,1588,Rivian,R1T,2016,Zinc-air,108.6,574,Level 1 Charging,12.0,66414.61,Sunset Orange,USA,4.0,0.0,4.0,3015,3
1588,1589,Volkswagen,ID.2all,2023,Nickel-manganese-cobalt,130.6,253,Mobile Charging,2.1,88149.47,Ice Silver,China,4.0,0.0,5.0,12075,4
1589,1590,NIO,ES7,2021,Lithium-iron phosphate,98.7,222,DC Fast Charging (DCFC),0.9,106458.26,Magenta,Finland,5.0,0.0,5.0,9380,3
1590,1591,Polestar,Polestar 3,2016,Sodium-ion,56.9,124,DC Fast Charging (DCFC),8.7,39888.14,Pink,Switzerland,3.0,0.0,5.0,6079,4
1592,1593,Faraday Future,FF 91,2022,Zinc-air,90.6,460,Battery Swapping,6.5,139788.17,Teal,Vietnam,2.0,0.0,5.0,7238,3
1593,1594,Nissan,Ariya,2016,Zinc-air,148.8,458,Mobile Charging,5.5,71744.17,Lime Green,Thailand,2.0,0.0,3.0,6036,4
1596,1597,Maserati,Grecale Folgore,2025,Lithium-sulfur,148.5,511,CCS,6.1,94355.84,White,New Zealand,1.0,0.0,4.0,5286,3
1598,1599,Chevrolet,Bolt EV,2019,Solid-state,25.1,484,Battery Swapping,5.7,126304.05,Crimson Red,Argentina,0.0,0.0,4.0,973,4
1600,1601,Cadillac,Celestiq,2023,Lithium-iron phosphate,23.8,574,Level 1 Charging,10.3,32847.56,Magenta,France,5.0,0.0,3.0,10909,3
1604,1605,Ferrari,Ferrari EV (2025+),2015,Calcium-ion,74.5,593,Vehicle-to-Grid (V2G),7.0,35860.67,Magenta,Brazil,4.0,0.0,3.0,12362,3
1606,1607,Mini,Mini Aceman,2016,Lithium-sulfur,96.4,382,Level 2 Charging,2.1,56394.24,Black,Turkey,3.0,0.0,3.0,13034,4
1607,1608,Toyota,Lexus RZ,2022,Magnesium-ion,128.9,540,NACS,4.2,135172.73,White,Saudi Arabia,1.0,0.0,4.0,5705,3
1608,1609,Subaru,Solterra,2015,Lithium-sulfur,30.4,463,CHAdeMO,4.0,116417.55,Pink,Belgium,3.0,0.0,4.0,10332,4
1612,1613,Opel,Corsa-e,2016,Sodium-ion,109.0,402,NACS,10.8,75893.97,Electric Blue,New Zealand,0.0,0.0,4.0,1081,3
1615,1616,Dacia,Bigster EV (upcoming),2022,Solid-state,86.8,288,Overhead Pantograph Charging,11.7,67092.52,Volcanic Yellow,Malaysia,4.0,0.0,3.0,9360,4
1616,1617,Renault,5 E-Tech,2017,Lithium-titanate,50.5,592,Plug-in Hydrogen Refueling,8.0,86246.77,Burgundy,Saudi Arabia,2.0,0.0,5.0,9435,3
1617,1618,Geely,Geometry A,2016,Zinc-air,58.4,487,Overhead Pantograph Charging,2.8,103713.46,Yellow,UK,3.0,0.0,4.0,11140,3
1618,1619,Fisker,Ocean,2025,Nickel-manganese-cobalt,104.3,488,Vehicle-to-Grid (V2G),1.3,33180.33,Matte Green,Netherlands,5.0,0.0,3.0,13329,5
1620,1621,Polestar,Polestar 3,2017,Lithium-iron phosphate,108.9,163,Overhead Pantograph Charging,7.2,38593.48,Gray,India,4.0,0.0,4.0,13568,3
1621,1622,Mahindra,XUV400,2016,Lithium-sulfur,130.0,410,Solar Charging,2.7,34805.09,Racing Red,Belgium,2.0,0.0,5.0,18500,5
1626,1626,Volvo,C40 Recharge,2022,Calcium-ion,67.5,300,Mobile Charging,11.2,76308.34,Aurora Blue,Indonesia,3.0,0.0,3.0,5396,4
1628,1628,Pininfarina,Battista,2017,Calcium-ion,107.4,543,Vehicle-to-Grid (V2G),9.3,120083.26,Tan,Russia,1.0,0.0,5.0,14445,5
1630,1630,Mazda,Mazda EV (upcoming models),2022,Lead-acid,147.9,453,Level 1 Charging,3.8,71386.67,Champagne,Singapore,1.0,0.0,4.0,1701,4
1631,1631,Nissan,Leaf,2018,Flow batteries,99.4,168,DC Fast Charging (DCFC),3.9,96660.07,Titanium,Sweden,1.0,0.0,3.0,1838,5
1632,1632,Seat,Avenger,2020,Solid-state,113.3,302,Vehicle-to-Load (V2L),5.1,117581.26,White,Thailand,5.0,0.0,5.0,13970,3
1634,1634,Citroen,ë-C4,2021,Calcium-ion,78.7,395,Plug-in Hydrogen Refueling,0.8,124798.03,Pearl White,Saudi Arabia,3.0,0.0,5.0,6777,4
1637,1637,Great Wall Motors,ORA Lightning Cat,2023,Lithium-titanate,109.8,462,Level 2 Charging,6.7,35854.51,Matte Black,Turkey,5.0,0.0,5.0,2232,3
1638,1638,Mazda,MX-30,2019,Lithium-iron phosphate,28.3,307,Plug-in Hydrogen Refueling,10.8,70791.66,Sky Blue,Switzerland,1.0,0.0,4.0,16877,5
1639,1639,Rivian,R1S,2019,Nickel-manganese-cobalt,61.6,358,Level 2 Charging,2.8,104935.85,White,France,4.0,0.0,4.0,3604,4
1640,1640,Canoo,Pickup,2023,Lithium-sulfur,24.7,592,Level 2 Charging,2.3,85510.76,Lime Green,France,4.0,0.0,5.0,6691,4
1642,1642,Jeep,Grand Cherokee 4xe (PHEV),2025,Lithium-iron phosphate,40.8,133,Vehicle-to-Load (V2L),10.5,116330.06,Black,Mexico,4.0,0.0,4.0,17665,3
1646,1646,Dacia,Jogger Hybrid,2017,Sodium-ion,36.4,365,Overhead Pantograph Charging,11.3,81176.29,Forest Green,USA,3.0,0.0,3.0,17536,5
1647,1647,Great Wall Motors,ORA Good Cat,2015,Flow batteries,79.4,524,Ultra-Fast Charging (350 kW+),6.9,115802.95,Pearl White,New Zealand,3.0,0.0,3.0,3960,5
1649,1649,Toyota,bZ4X,2018,Lithium-sulfur,107.8,350,Inductive (Wireless) Charging,10.7,145717.44,Teal,New Zealand,5.0,0.0,3.0,13998,3
1651,1651,Skoda,Enyaq Coupe,2023,Calcium-ion,50.5,247,Battery Swapping,0.7,103799.19,Turquoise,Sweden,2.0,0.0,4.0,11944,3
1652,1652,Opel,Mokka-e,2024,Lithium-iron phosphate,144.4,193,CHAdeMO,10.1,99534.65,Stealth Gray,Spain,4.0,0.0,4.0,9322,4
1654,1654,Ford,Explorer EV (Europe),2015,Lithium-ion,85.5,168,Plug-in Hydrogen Refueling,4.5,98618.47,Electric Blue,Spain,2.0,0.0,3.0,7230,4
1656,1656,Acura,ZDX (with GM Ultium),2019,Flow batteries,128.1,515,CHAdeMO,0.8,54920.21,Champagne,Italy,3.0,0.0,5.0,4652,4
1658,1658,Maserati,GranTurismo Folgore,2025,Lithium-ion,31.2,441,Plug-in Hydrogen Refueling,9.6,68355.55,Matte Blue,Germany,2.0,0.0,4.0,3753,4
1659,1659,Genesis,GV70 Electric,2015,Aluminum-ion,103.8,471,Inductive (Wireless) Charging,11.9,68432.19,Tan,Switzerland,5.0,0.0,3.0,2929,3
1660,1660,BMW,iX3,2015,Zinc-air,26.8,520,Ultra-Fast Charging (350 kW+),1.3,83204.07,Orange,USA,2.0,0.0,3.0,5684,5
1661,1661,Genesis,GV70 Electric,2020,Lithium-titanate,143.7,133,Mobile Charging,6.8,143199.02,Stealth Gray,Norway,0.0,0.0,4.0,7229,5
1665,1665,Mini,Mini Cooper SE,2024,Lithium-iron phosphate,81.7,308,Overhead Pantograph Charging,7.9,120896.17,Yellow,Thailand,3.0,0.0,5.0,16228,4
1673,1673,Lucid Motors,Lucid Air,2016,Solid-state,115.0,176,Mobile Charging,7.8,37656.94,Graphite Gray,Thailand,0.0,0.0,3.0,13156,5
1675,1675,Lucid Motors,Lucid Air,2017,Magnesium-ion,54.0,188,Plug-in Hydrogen Refueling,8.0,80816.94,Gold,Singapore,1.0,0.0,5.0,9446,3
1676,1676,Seat,Avenger,2022,Aluminum-ion,121.6,147,Battery Swapping,4.0,143524.45,Gun Metal,Argentina,5.0,0.0,3.0,12465,5
1677,1677,Mahindra,XUV400,2020,Flow batteries,59.5,581,Overhead Pantograph Charging,3.0,69636.76,Red,Portugal,3.0,0.0,5.0,13724,4
1678,1678,MG,MG4 Electric,2025,Lithium-titanate,133.4,359,Inductive (Wireless) Charging,9.5,97387.72,Rose Gold,Austria,2.0,0.0,5.0,5243,4
1679,1679,Mahindra,XUV400,2021,Nickel-cobalt-aluminum,127.9,365,Mobile Charging,3.3,33515.82,Lime Green,Australia,4.0,0.0,5.0,9526,3
1680,1680,Mercedes-Benz,EQS SUV,2024,Lead-acid,48.4,524,Battery Swapping,4.0,134552.1,Volcanic Yellow,Vietnam,5.0,0.0,4.0,779,5
1682,1682,Ferrari,SF90 Stradale (PHEV),2022,Nickel-manganese-cobalt,49.5,478,Vehicle-to-Load (V2L),10.9,131344.36,Matte Blue,Hungary,2.0,0.0,3.0,7919,5
1684,1684,Rivian,R1S,2018,Aluminum-ion,28.4,565,Vehicle-to-Home (V2H),7.4,122613.44,Sky Blue,Austria,3.0,0.0,4.0,6163,3
1685,1685,Faraday Future,FF 91,2016,Nickel-metal hydride,51.1,280,Level 1 Charging,3.7,134272.47,Cream,Brazil,3.0,0.0,4.0,12461,3
1686,1686,Faraday Future,FF 91,2016,Lithium-titanate,26.6,286,Vehicle-to-Load (V2L),3.1,53092.66,Cosmic Purple,Brazil,2.0,0.0,4.0,1342,5
1687,1687,Canoo,MPDV,2016,Zinc-air,50.2,148,DC Fast Charging (DCFC),6.0,138225.25,Magenta,Brazil,2.0,0.0,4.0,1024,4
1688,1688,Volkswagen,ID.6,2017,Lead-acid,129.9,312,Vehicle-to-Home (V2H),2.8,83071.42,Beige,France,1.0,0.0,4.0,12273,4
1689,1689,Renault,5 E-Tech,2021,Lithium-sulfur,134.8,188,Vehicle-to-Grid (V2G),0.8,60904.63,Orange,Turkey,5.0,0.0,5.0,1940,4
1690,1690,Ferrari,SF90 Stradale (PHEV),2016,Zinc-air,128.2,223,Level 1 Charging,9.6,58184.56,Sapphire Blue,Ireland,0.0,0.0,3.0,10183,4
1691,1691,Chevrolet,Volt (PHEV),2024,Calcium-ion,96.7,173,CHAdeMO,11.0,114467.86,Tan,Malaysia,0.0,0.0,3.0,9188,3
1694,1694,Jeep,Wrangler 4xe (PHEV),2019,Flow batteries,53.6,558,DC Fast Charging (DCFC),6.5,114869.76,Ruby Red,Poland,4.0,0.0,3.0,1249,5
1696,1696,Faraday Future,FF 91,2022,Lithium-iron phosphate,131.4,360,CCS,10.2,46950.55,Sapphire Blue,UK,5.0,0.0,5.0,5099,3
1698,1698,Tesla,Model Y,2025,Lithium-sulfur,65.0,404,DC Fast Charging (DCFC),4.8,53579.61,Gold,Portugal,0.0,0.0,3.0,12362,5
1699,1699,Faraday Future,FF 91,2023,Nickel-manganese-cobalt,92.1,117,Inductive (Wireless) Charging,9.1,67161.43,Teal,South Korea,2.0,0.0,4.0,1547,3
1700,1700,Genesis,GV60,2019,Lithium-ion,98.6,468,Inductive (Wireless) Charging,3.6,112181.29,Sunset Orange,Brazil,0.0,0.0,3.0,13892,5
1702,1702,Mercedes-Benz,EQE,2015,Solid-state,50.6,436,NACS,4.7,58325.51,Silver,United Arab Emirates,5.0,0.0,5.0,12672,5
1703,1703,Jaguar,I-PACE,2018,Nickel-cobalt-aluminum,129.3,221,DC Fast Charging (DCFC),8.0,114169.65,Forest Green,India,3.0,0.0,4.0,15928,4
1704,1704,Great Wall Motors,ORA Good Cat,2015,Lithium-ion,23.0,166,DC Fast Charging (DCFC),3.5,116072.57,Navy Blue,South Korea,0.0,0.0,4.0,18370,4
1705,1705,VinFast,VF 6,2025,Flow batteries,89.3,410,Mobile Charging,1.7,56002.99,White,South Africa,0.0,0.0,3.0,8677,5
1710,1710,Skoda,Enyaq Coupe,2017,Flow batteries,107.2,291,NACS,3.9,57211.71,Gun Metal,Thailand,5.0,0.0,4.0,8582,4
1711,1711,Nissan,Ariya,2021,Sodium-ion,69.0,600,Plug-in Hydrogen Refueling,7.3,138287.29,Black,Switzerland,4.0,0.0,3.0,9119,5
1712,1712,Volvo,EX90,2025,Zinc-air,139.7,216,Plug-in Hydrogen Refueling,8.9,112811.43,Green,Brazil,1.0,0.0,5.0,19459,3
1715,1715,Pininfarina,Battista,2023,Zinc-air,114.8,528,Battery Swapping,10.1,87247.72,Copper,Israel,4.0,0.0,3.0,3488,4
1716,1716,Jaguar,I-PACE,2019,Lead-acid,131.0,504,Mobile Charging,11.9,72713.54,Racing Red,France,4.0,0.0,3.0,14177,3
1717,1717,Mahindra,XUV400,2025,Magnesium-ion,109.0,590,Mobile Charging,5.2,59190.48,Tan,Denmark,1.0,0.0,4.0,11547,4
1719,1719,Jeep,Wrangler 4xe (PHEV),2021,Lead-acid,147.1,185,Level 2 Charging,1.8,54861.78,Platinum,USA,3.0,0.0,5.0,5627,3
1721,1721,Polestar,Polestar 5 (upcoming),2025,Nickel-metal hydride,98.2,483,Solar Charging,4.8,123182.99,Graphite Gray,Austria,3.0,0.0,3.0,19585,5
1723,1723,Peugeot,e-2008,2020,Lead-acid,134.5,134,Battery Swapping,10.1,134117.56,Midnight Black,France,1.0,0.0,3.0,3981,5
1725,1725,Tesla,Model Y,2024,Nickel-cobalt-aluminum,87.8,477,Mobile Charging,9.4,104611.49,Ruby Red,Israel,5.0,0.0,5.0,17641,4
1726,1726,Volkswagen,ID.Buzz,2019,Aluminum-ion,114.8,387,NACS,8.6,85308.27,Emerald Green,Denmark,0.0,0.0,3.0,6756,3
1727,1727,GMC,Hummer EV SUV,2018,Aluminum-ion,75.7,114,Vehicle-to-Load (V2L),8.5,44522.87,Lime Green,Austria,0.0,0.0,3.0,5624,5
1728,1728,Mercedes-Benz,EQA,2016,Lithium-titanate,100.2,550,Ultra-Fast Charging (350 kW+),9.8,37359.71,Sky Blue,Belgium,1.0,0.0,3.0,3084,5
1729,1729,Kia,EV6,2019,Lithium-sulfur,41.9,489,Battery Swapping,2.3,148229.97,Black,Netherlands,1.0,0.0,3.0,19691,4
1731,1731,Kia,EV6,2022,Sodium-ion,45.0,376,DC Fast Charging (DCFC),10.8,86094.97,Purple,Poland,1.0,0.0,3.0,1828,5
1732,1732,Canoo,Lifestyle Vehicle,2021,Calcium-ion,29.9,561,DC Fast Charging (DCFC),0.8,53956.08,Beige,Hungary,1.0,0.0,3.0,1154,5
1733,1733,Porsche,Macan EV,2022,Nickel-cobalt-aluminum,112.4,321,Vehicle-to-Grid (V2G),7.4,123044.13,Matte Green,Brazil,4.0,0.0,3.0,2143,5
1734,1734,Canoo,MPDV,2018,Zinc-air,108.0,527,Ultra-Fast Charging (350 kW+),9.5,66665.25,Bronze,Sweden,3.0,0.0,5.0,6154,4
1736,1736,Chevrolet,Equinox EV,2021,Magnesium-ion,125.1,515,Solar Charging,2.5,59890.72,Matte Gray,Norway,4.0,0.0,4.0,682,4
1737,1737,Toyota,bZ4X,2020,Calcium-ion,128.3,395,Overhead Pantograph Charging,2.4,121094.19,Matte Gray,South Africa,2.0,0.0,4.0,270,3
1738,1738,Ferrari,Roma PHEV,2024,Calcium-ion,144.8,245,Mobile Charging,2.9,102112.77,Titanium,New Zealand,0.0,0.0,5.0,17138,3
1739,1739,Tesla,Model S,2024,Magnesium-ion,96.5,240,CHAdeMO,6.8,143944.79,Electric Blue,Portugal,5.0,0.0,5.0,12363,5
1741,1741,Hyundai,Ioniq 6,2024,Nickel-manganese-cobalt,138.1,141,Level 1 Charging,11.6,55787.14,Matte Black,Spain,5.0,0.0,4.0,12851,4
1742,1742,Fisker,Pear (upcoming),2021,Lithium-titanate,62.4,434,Mobile Charging,1.4,117356.56,Brown,Germany,3.0,0.0,5.0,5921,3
1743,1743,Mazda,MX-30,2020,Zinc-air,135.4,322,Mobile Charging,0.7,147168.59,Bronze,Hungary,0.0,0.0,4.0,18894,3
1744,1744,Mahindra,Born Electric (upcoming range),2019,Lithium-ion,37.6,464,Battery Swapping,10.9,125448.57,Brown,China,5.0,0.0,4.0,14604,3
1745,1745,Subaru,Solterra,2017,Sodium-ion,27.2,541,Ultra-Fast Charging (350 kW+),6.7,134555.19,Champagne,Vietnam,3.0,0.0,3.0,13476,3
1749,1749,Mazda,MX-30,2025,Zinc-air,53.6,360,Plug-in Hydrogen Refueling,9.1,116247.7,Crimson Red,France,5.0,0.0,4.0,14409,5
1750,1750,Li Auto,L7,2022,Lithium-titanate,129.5,561,Level 2 Charging,5.7,56380.9,Orange,Malaysia,2.0,0.0,3.0,13548,3
1751,1751,NIO,ES6,2021,Nickel-manganese-cobalt,90.0,456,Level 2 Charging,6.4,138207.46,Matte Gray,Ireland,3.0,0.0,4.0,8933,5
1752,1752,Mazda,MX-30,2019,Calcium-ion,85.3,271,CHAdeMO,7.3,131813.0,Candy Apple Red,Australia,0.0,0.0,4.0,12756,4
1755,1755,MG,MG4 Electric,2018,Lithium-titanate,57.8,234,Mobile Charging,3.3,147982.91,Cobalt Blue,Mexico,3.0,0.0,3.0,6562,5
1760,1760,Dacia,Jogger Hybrid,2018,Lithium-titanate,50.1,473,NACS,7.1,52312.3,Brown,Czech Republic,2.0,0.0,3.0,17531,4
1761,1761,Porsche,Macan EV,2016,Lithium-sulfur,27.1,134,Inductive (Wireless) Charging,10.6,93832.09,Beige,Japan,2.0,0.0,5.0,19358,3
1764,1764,Skoda,Enyaq,2015,Nickel-metal hydride,66.2,291,Inductive (Wireless) Charging,3.6,143361.17,Tan,Hungary,0.0,0.0,5.0,17628,4
1765,1765,Acura,ZDX (with GM Ultium),2016,Nickel-manganese-cobalt,91.5,267,Mobile Charging,10.6,126807.74,Blue,Singapore,5.0,0.0,3.0,5597,5
1767,1767,Maserati,Grecale Folgore,2023,Aluminum-ion,113.1,121,Level 2 Charging,11.9,145262.08,Red,Spain,1.0,0.0,3.0,10215,3
1769,1769,Hyundai,Ioniq 6,2021,Solid-state,45.6,142,Mobile Charging,10.7,72763.02,Metallic Silver,South Korea,2.0,0.0,4.0,9726,3
1770,1770,Geely,Geometry C,2023,Solid-state,107.3,151,Level 2 Charging,7.6,136559.93,Tan,Argentina,2.0,0.0,4.0,13329,5
1771,1771,Dacia,Bigster EV (upcoming),2018,Lithium-titanate,124.0,266,Solar Charging,1.9,97003.41,Midnight Black,Ireland,1.0,0.0,5.0,8745,4
1773,1773,Renault,5 E-Tech,2017,Flow batteries,52.5,509,CCS,5.2,46967.44,Platinum,Turkey,1.0,0.0,4.0,11660,5
1776,1776,Lamborghini,Lanzador (upcoming EV),2024,Nickel-manganese-cobalt,115.6,230,Inductive (Wireless) Charging,6.9,142713.07,Charcoal,Finland,2.0,0.0,3.0,10852,5
1779,1779,Jeep,Wagoneer S,2021,Nickel-cobalt-aluminum,145.2,232,Inductive (Wireless) Charging,0.9,138069.61,Pink,Brazil,1.0,0.0,5.0,16667,5
1781,1781,Faraday Future,FF 91,2023,Nickel-cobalt-aluminum,21.2,243,Vehicle-to-Load (V2L),10.1,63251.3,Stealth Gray,Malaysia,0.0,0.0,3.0,16676,3
1782,1782,Rivian,R1S,2016,Magnesium-ion,113.7,231,Mobile Charging,8.9,97214.34,Cosmic Purple,Singapore,0.0,0.0,4.0,15060,5
1784,1784,Mini,Mini Aceman,2021,Nickel-manganese-cobalt,21.0,384,Battery Swapping,10.4,121096.7,Cream,South Africa,3.0,0.0,5.0,4890,5
1785,1785,Mercedes-Benz,EQE SUV,2025,Flow batteries,89.5,195,NACS,6.5,49769.96,Matte White,USA,0.0,0.0,4.0,6870,3
1788,1788,Acura,ZDX (with GM Ultium),2023,Lithium-titanate,100.9,240,Vehicle-to-Home (V2H),11.6,40438.27,Sky Blue,China,2.0,0.0,3.0,14042,4
1791,1791,Citroen,Ami,2020,Zinc-air,81.8,427,CHAdeMO,2.5,63693.82,Gray,South Africa,4.0,0.0,5.0,19667,3
1794,1794,Ford,Explorer EV (Europe),2015,Zinc-air,135.8,348,Battery Swapping,11.2,128963.45,Cream,Italy,0.0,0.0,4.0,9794,5
1795,1795,Ferrari,SF90 Stradale (PHEV),2016,Zinc-air,109.8,463,Overhead Pantograph Charging,5.2,118666.3,Sky Blue,Sweden,2.0,0.0,3.0,11711,4
1799,1799,Kia,EV9,2019,Zinc-air,90.4,366,Ultra-Fast Charging (350 kW+),6.4,107291.13,Lime Green,Singapore,3.0,0.0,4.0,19082,3
1800,1800,Great Wall Motors,ORA Good Cat,2020,Sodium-ion,59.4,413,Battery Swapping,8.0,115003.58,Emerald Green,Poland,3.0,0.0,3.0,11019,4
1801,1801,Faraday Future,FF 91,2017,Lithium-titanate,20.3,398,Battery Swapping,9.3,133031.49,Blue,Russia,5.0,0.0,4.0,6897,4
1802,1802,Jeep,Recon (upcoming),2022,Solid-state,149.2,439,Level 2 Charging,1.8,143969.6,Ruby Red,Spain,1.0,0.0,4.0,7877,5
1804,1804,Kia,EV9,2023,Sodium-ion,133.8,291,Vehicle-to-Home (V2H),3.0,109822.96,Charcoal,Belgium,4.0,0.0,5.0,578,5
1805,1805,Peugeot,e-3008,2022,Lithium-titanate,97.7,526,Vehicle-to-Load (V2L),4.7,90190.21,Ruby Red,Indonesia,1.0,0.0,4.0,3852,3
1806,1806,Li Auto,L8,2018,Lithium-iron phosphate,116.4,435,Solar Charging,5.6,66069.96,Sunset Orange,France,4.0,0.0,5.0,3146,4
1807,1807,Renault,Kangoo E-Tech,2025,Zinc-air,83.6,514,Ultra-Fast Charging (350 kW+),11.7,44938.27,Teal,Hungary,0.0,0.0,4.0,12217,5
1808,1808,Opel,Mokka-e,2015,Solid-state,80.0,197,Plug-in Hydrogen Refueling,1.7,39339.97,Teal,Finland,5.0,0.0,4.0,1155,4
1809,1809,Changan,Q05,2025,Lithium-sulfur,94.7,350,Vehicle-to-Grid (V2G),8.6,51371.76,Matte Black,Hungary,0.0,0.0,3.0,11965,5
1810,1810,Faraday Future,FF 91,2025,Lead-acid,120.2,572,Vehicle-to-Grid (V2G),5.6,111222.71,Teal,Denmark,3.0,0.0,5.0,11666,5
1811,1811,Lotus,Evija,2021,Lithium-ion,83.6,332,CHAdeMO,2.0,94599.71,Bronze,UK,1.0,0.0,3.0,239,3
1812,1812,Toyota,bZ4X,2015,Zinc-air,80.9,538,Solar Charging,2.4,106230.35,Sapphire Blue,Austria,5.0,0.0,5.0,18604,4
1813,1813,Geely,Geometry A,2019,Lead-acid,145.2,200,Level 1 Charging,8.1,139700.76,Sky Blue,Austria,5.0,0.0,3.0,12774,3
1816,1816,Jeep,Recon (upcoming),2025,Lead-acid,93.8,600,CHAdeMO,10.2,127201.44,Magenta,Thailand,2.0,0.0,5.0,8940,4
1819,1819,Subaru,Solterra,2023,Magnesium-ion,136.7,541,Vehicle-to-Load (V2L),11.3,61220.49,Lime Green,Italy,0.0,0.0,3.0,7960,4
1820,1820,Toyota,bZ4X,2016,Solid-state,44.0,186,Inductive (Wireless) Charging,11.0,31370.15,White,Turkey,3.0,0.0,4.0,1514,5
1822,1822,Great Wall Motors,ORA Ballet Cat,2016,Flow batteries,74.1,590,CCS,6.2,35015.6,Matte White,South Africa,3.0,0.0,3.0,16416,4
1823,1823,Canoo,MPDV,2018,Lithium-ion,49.4,523,NACS,5.0,65684.76,Pink,Thailand,3.0,0.0,5.0,2730,4
1826,1826,Changan,SL03,2022,Lithium-sulfur,42.8,591,Mobile Charging,11.1,38038.16,Forest Green,Thailand,2.0,0.0,3.0,4607,3
1827,1827,Jaguar,I-PACE,2024,Lithium-titanate,140.8,112,Vehicle-to-Home (V2H),4.7,63161.33,White,Sweden,4.0,0.0,4.0,17866,3
1828,1828,Citroen,Ami,2019,Lithium-iron phosphate,108.7,418,DC Fast Charging (DCFC),0.5,73450.53,Forest Green,Hungary,3.0,0.0,4.0,18805,3
1837,1837,Geely,Geometry C,2019,Flow batteries,116.6,314,Mobile Charging,5.8,91408.33,Burgundy,Australia,3.0,0.0,5.0,11070,4
1838,1838,Skoda,Enyaq,2018,Zinc-air,21.4,359,Battery Swapping,11.5,75627.07,Rose Gold,Brazil,0.0,0.0,5.0,19577,3
1839,1839,Genesis,G80 Electric,2016,Lithium-iron phosphate,87.5,576,Vehicle-to-Grid (V2G),9.5,87162.94,Sapphire Blue,Malaysia,3.0,0.0,3.0,6721,5
1841,1841,Volkswagen,ID.7,2024,Nickel-cobalt-aluminum,42.4,438,Level 2 Charging,5.2,146020.29,Ruby Red,Netherlands,1.0,0.0,3.0,1700,3
1842,1842,Rivian,EDV (Electric Delivery Van),2024,Aluminum-ion,49.9,243,Plug-in Hydrogen Refueling,0.8,78136.27,Cosmic Purple,Germany,3.0,0.0,5.0,7424,5
1847,1847,Dacia,Bigster EV (upcoming),2023,Nickel-cobalt-aluminum,145.4,572,Inductive (Wireless) Charging,11.4,123082.3,Lime Green,Italy,3.0,0.0,3.0,17019,4
1848,1848,Lucid Motors,Lucid DreamDrive,2016,Lithium-sulfur,124.2,512,Solar Charging,7.0,125664.43,Midnight Black,Singapore,3.0,0.0,4.0,9844,3
